bodyId,instance,type,pre,post,status,cropped,size
1671283628,ORN,ORN,66,79,Traced,True,63426226
1671283826,ORN,ORN,48,69,Traced,True,53464538
1671288363,ORN,ORN,77,84,Traced,True,61339601
1671292634,ORN,ORN,66,113,Traced,True,68752681
1671292694,ORN,ORN,73,124,Traced,True,73659752
1671305698,ORN_L,ORN,211,353,Traced,True,198940188
1671598776,,,22,31,Traced,True,33558893
1671616310,ORN,ORN,52,70,Traced,True,53821778
1671616374,ORN,ORN,54,70,Traced,True,53235172
1671616495,ORN,ORN,54,79,Traced,True,53672958
1671620549,ORN,ORN,50,53,Traced,True,51196942
1671620573,ORN,ORN,48,66,Traced,True,48285129
1671621030,ORN,ORN,59,57,Traced,True,48883752
1671625238,ORN,ORN,58,81,Traced,True,49694646
1671625304,ORN,ORN,65,77,Traced,True,62004113
1671629267,ORN,ORN,51,40,Traced,True,66385528
1671638278,lPN2(AVM03)_R,olfactory multi lPN lALT,1858,6075,Traced,False,4526089175
1671939855,ORN,ORN,50,68,Traced,True,42934815
1671966229,ORN,ORN,58,45,Traced,True,47522084
1671966294,ORN,ORN,55,57,Traced,True,43684816
1671970212,ORN,ORN,48,63,Traced,True,57246998
1671970238,ORN,ORN,63,82,Traced,True,58864079
1671970367,ORN,ORN,55,52,Traced,True,66214585
1671970762,ORN_R,ORN,222,390,Traced,True,207449063
1672307311,ORN,ORN,89,87,Traced,True,82520624
1672311578,ORN,ORN,48,43,Traced,True,58481220
1672311674,ORN,ORN,88,113,Traced,True,60005946
1672315788,ORN,ORN,89,82,Traced,True,93828760
1672316122,,,79,112,Traced,True,107032074
1672639485,ORN,ORN,64,51,Traced,True,66779700
1672652372,ORN,ORN,90,118,Traced,True,88719645
1696948638,ORN,ORN,135,181,Traced,True,160101264
1697272285,ORN_R,ORN,425,591,Traced,True,431860195
1697276313,ORN_R,ORN,426,614,Traced,True,379972732
1697276582,ORN_L,ORN,175,301,Traced,True,158175349
1697276648,ORN,ORN,166,270,Traced,True,139369653
1697276695,ORN,ORN,162,266,Traced,True,149225404
1697280776,ORN,ORN,454,659,Traced,True,420300317
1697280847,ORN_R,ORN,212,241,Traced,True,218601398
1697280950,ORN_R,ORN,173,291,Traced,True,174505494
1697281203,ORN,ORN,148,213,Traced,True,122969993
1697285165,ORN_R,ORN,437,656,Traced,True,430459824
1697285307,ORN,ORN,163,267,Traced,True,204867017
1697285520,ORN,ORN,114,171,Traced,True,136163194
1697285565,ORN_L,ORN,171,283,Traced,True,194190274
1697285571,ORN,ORN,157,211,Traced,True,177154192
1697285610,ORN,ORN,137,242,Traced,True,144620952
1697600363,ORN,ORN,438,589,Traced,True,399897784
1697604748,ORN_R,ORN,402,524,Traced,True,369605803
1697605071,ORN_L,ORN,189,327,Traced,True,188280149
1697608583,ORN_L,ORN,388,604,Traced,True,297302437
1697608860,ORN,ORN,159,278,Traced,True,161083228
1697609151,ORN,ORN,162,258,Traced,True,178731928
1697609381,ORN,ORN,146,220,Traced,True,143129452
1697613072,ORN_L,ORN,167,290,Traced,True,158607434
1697613132,ORN,ORN,164,257,Traced,True,151697958
1697613170,ORN_L,ORN,186,278,Traced,True,202962378
1697613300,ORN,ORN,162,300,Traced,True,164033069
1697613314,ORN,ORN,161,284,Traced,True,197167956
1697613458,ORN,ORN,117,224,Traced,True,111821101
1697613466,ORN,ORN,118,184,Traced,True,108625424
1697613506,ORN_L,ORN,126,193,Traced,True,134265431
1697613513,ORN,ORN,167,286,Traced,True,174348137
1697613611,ORN,ORN,98,153,Traced,True,93242207
1697613650,ORN_L,ORN,185,347,Traced,True,202701481
1697617556,ORN,ORN,164,269,Traced,True,189976979
1697617570,ORN,ORN,127,200,Traced,True,148204171
1697617587,ORN_L,ORN,132,244,Traced,True,144663184
1697621641,ORN,ORN,125,192,Traced,True,152243055
1697621973,ORN_L,ORN,119,216,Traced,True,131781911
1697621981,ORN_L,ORN,162,333,Traced,True,165334837
1697621991,ORN,ORN,135,286,Traced,True,147381989
1697630404,ORN_L,ORN,354,591,Traced,True,288123155
1697648168,ORN,ORN,122,151,Traced,True,111541942
1697937875,ORN,ORN,280,392,Traced,True,263198062
1697941039,ORN_R,ORN,127,165,Traced,True,155441141
1697945551,ORN_L,ORN,305,443,Traced,True,255162626
1697945569,ORN,ORN,202,321,Traced,True,201715129
1697949646,ORN,ORN,102,180,Traced,True,108721545
1697949713,LN?(AL)bilateral leaves,,785,1914,Traced,False,1335136709
1697949895,ORN,ORN,139,265,Traced,True,159943395
1697949977,ORN,ORN,137,241,Traced,True,161975165
1697953882,ORN,ORN,53,100,Traced,True,77037695
1697954189,ORN,ORN,167,318,Traced,True,178147055
1697954208,ORN,ORN,131,264,Traced,True,144999661
1697958405,ORN_L,ORN,165,290,Traced,True,191225980
1697988867,ORN,ORN,170,251,Traced,True,143875291
1697993770,ORN,ORN,105,159,Traced,True,112776577
1698002425,ORN,ORN,153,275,Traced,True,167796613
1698274536,ORN,ORN,182,261,Traced,True,186758244
1698278095,ORN,ORN,167,312,Traced,True,194777216
1698278105,ORN,ORN,340,506,Traced,True,294385110
1698278346,ORN,ORN,174,279,Traced,True,166442708
1698286310,,,58,94,Traced,True,56552576
1698286329,,,33,35,Traced,True,69451241
1698334367,ORN,ORN,123,189,Traced,True,139367580
1698338840,ORN_L,ORN,114,192,Traced,True,136264602
1698338865,ORN_L,ORN,146,207,Traced,True,164529721
1698338958,ORN,ORN,134,174,Traced,True,150811256
1698343052,ORN,ORN,136,203,Traced,True,144843890
1698618777,ORN_R,ORN,438,626,Traced,True,411826293
1698618858,ORN_R,ORN,193,323,Traced,True,216229786
1698619179,ORN_R,ORN,168,340,Traced,True,198364287
1698619238,ORN,ORN,157,301,Traced,True,178787385
1698623120,ORN,ORN,142,257,Traced,True,129746997
1698623131,ORN,ORN,161,269,Traced,True,150952376
1698679708,,,587,1820,Traced,True,520685147
1698693312,ORN_R,ORN,176,274,Traced,True,186476312
1699029525,,,208,2704,Traced,False,855296096
1699379523,ORN_L,ORN,173,282,Traced,True,185479768
1699633680,ORN,ORN,184,272,Traced,True,142839959
1699637626,ORN_R,ORN,169,294,Traced,True,211696252
1699698428,,,110,184,Traced,True,103934653
1699711025,ORN,ORN,165,235,Traced,True,146531510
1699711114,ORN_R,ORN,170,205,Traced,True,146828803
1699711405,ORN_L,ORN,197,217,Traced,True,171941581
1699715276,ORN_L,ORN,188,233,Traced,True,178299775
1699715494,ORN,ORN,76,129,Traced,True,70539572
1699719901,ORN,ORN,209,224,Traced,True,173975929
1699961895,,,35,54,Traced,True,40637473
1699962040,ORN_R,ORN,95,159,Traced,True,83463218
1699962056,ORN_R,ORN,71,140,Traced,True,71624174
1699962188,ORN_L,ORN,191,262,Traced,True,190941632
1700052335,ORN_L,ORN,140,252,Traced,True,130365496
1700299033,ORN_R,ORN,184,307,Traced,True,202635992
1700303013,ORN_R,ORN,194,302,Traced,True,204076090
1700303249,ORN,ORN,160,256,Traced,True,159149716
1700328422,ORN,ORN,107,145,Traced,True,94362026
1700393267,,,38,52,Traced,True,43742124
1700393451,ORN,ORN,93,137,Traced,True,73781443
1700604830,ORN,ORN,50,59,Traced,True,56565067
1700604950,ORN,ORN,77,137,Traced,True,72425849
1700604978,ORN_R,ORN,79,130,Traced,True,94409674
1700609155,ORN,ORN,81,117,Traced,True,86982789
1700609238,ORN,ORN,50,67,Traced,True,53763724
1700609292,ORN,ORN,28,42,Traced,True,41761781
1700613391,ORN,ORN,41,46,Traced,True,46565861
1700635321,ORN_L,,221,219,Traced,True,190788381
1700639697,ORN_R,ORN,202,230,Traced,True,211737414
1700639720,ORN_R,ORN,226,240,Traced,True,205308891
1700644008,LN(AVM05)_R,olfactory LN,283,888,Traced,False,758615548
1700652037,ORN_R,ORN,215,266,Traced,True,201709007
1700652765,ORN,ORN,180,318,Traced,True,190788182
1700657154,ORN_L,ORN,151,246,Traced,True,145260771
1700739144,,,85,83,Traced,True,63016576
1700743216,ORN,ORN,79,117,Traced,True,66388551
1700932816,ORN,ORN,82,125,Traced,True,71475999
1700932879,ORN,ORN,57,63,Traced,True,58446973
1700941431,ORN,ORN,72,122,Traced,True,85326760
1700946302,ORN_R,ORN,81,126,Traced,True,75786184
1700980443,ORN,ORN,72,89,Traced,True,87206517
1700980593,ORN_R,ORN,227,247,Traced,True,245606605
1700980626,ORN_R,ORN,217,259,Traced,True,222908148
1700980659,ORN_R,ORN,192,217,Traced,True,188005281
1700980693,ORN_R,ORN,217,226,Traced,True,192318776
1700980727,ORN_R,ORN,206,234,Traced,True,178968471
1700984539,ORNpiece,ORN,36,46,Traced,True,34187431
1700984878,ORN_R,ORN,147,195,Traced,True,188141564
1701075553,,,44,47,Traced,True,54848161
1701282729,ORN,ORN,66,137,Traced,True,68043701
1701287251,ORN,ORN,95,125,Traced,True,87631636
1701343239,ORN_R,ORN,226,421,Traced,True,198963335
1701424950,,,52,67,Traced,True,58162264
1701614773,ORN,ORN,56,73,Traced,True,55904205
1701614996,ORN_R,ORN,75,106,Traced,True,70825866
1701675332,,,74,87,Traced,True,85859253
1701675592,ORN,ORN,124,156,Traced,True,101977627
1701757496,ORN_L,ORN,128,160,Traced,True,107431468
1701757711,,,88,86,Traced,True,84879957
1702021357,ORN,ORN,208,214,Traced,True,189030744
1702107389,ORN,ORN,70,86,Traced,True,70777851
1702301695,ORN,ORN,72,92,Traced,True,64484121
1702647113,ORN,ORN,86,133,Traced,True,78876629
1702802179,ORN,ORN,103,110,Traced,True,75529377
1702810993,,,45,52,Traced,True,38508156
1702811119,ORN,ORN,62,68,Traced,True,47765899
1703000805,ORN,ORN,51,102,Traced,True,46496481
1703147500,ORN,ORN,53,82,Traced,True,48085613
1703151910,ORN,ORN,109,274,Traced,True,91581198
1703337673,ORN,ORN,46,53,Traced,True,56112368
1703342127,ORN,ORN,78,107,Traced,True,58746647
1703359176,ORN,ORN,231,350,Traced,True,203696629
1703678670,ORN,ORN,48,46,Traced,True,58053752
1703683156,ORN,ORN,68,78,Traced,True,78861846
1704011227,ORN,ORN,64,69,Traced,True,70515684
1727961873,ORN,ORN,116,186,Traced,True,133870353
1727970209,ORN,ORN,123,194,Traced,True,121976682
1727970309,ORN,ORN,127,214,Traced,True,163398886
1727975215,,,275,212,Traced,True,553361253
1727979406,lPN2?(AVM03)_R,VP multi lPN lALT,2267,4248,Traced,False,3975536858
1727987554,ORN,ORN,143,210,Traced,True,131621055
1727988111,,,246,951,Traced,True,668591542
1727996245,ORN,ORN,120,188,Traced,True,123422981
1728294045,LN(AVM05)_R,olfactory LN,102,690,Traced,False,505248202
1728298525,ORN_R,ORN,130,201,Traced,True,164986232
1728307233,ORN_R,ORN,130,176,Traced,True,123197232
1728311554,ORN_R,ORN,131,198,Traced,True,136424005
1728311658,ORN,ORN,132,203,Traced,True,108053152
1728315957,LN(AVM05)_R,olfactory LN,185,1333,Traced,False,693760070
1728984763,ORN_L,ORN,125,229,Traced,True,133664319
1729312828,ORN,ORN,112,195,Traced,True,120536319
1729321593,,,92,132,Traced,True,117112471
1729650077,ORN_R,ORN,132,161,Traced,True,172187486
1729650124,,,131,187,Traced,True,141687250
1729991014,LN?(AL)bilateral leaves,,261,243,Traced,False,517371892
1729995175,ORN,ORN,112,177,Traced,True,120087418
1729999155,ORN,ORN,136,216,Traced,True,140040118
1730315051,ORN,ORN,426,590,Traced,True,399795107
1730319288,ORN_R,ORN,176,300,Traced,True,192714370
1730647280,ORN_R,ORN,434,609,Traced,True,397898792
1730651751,LN(AVM05)_R,olfactory LN,314,1220,Traced,False,804453334
1730754676,,,112,113,Traced,True,116087283
1730957703,AVM18c_pct(AVM18)_L,AVM18c_pct,166,1825,Traced,False,3494883899
1730979793,LN(AVM05)_R,olfactory LN,480,1937,Traced,False,1567555911
1730988388,ORN_R,ORN,399,610,Traced,True,400093450
1730996778,LN(AVM05)_R,olfactory LN,245,747,Traced,False,435388177
1731109531,,,57,42,Traced,True,74942652
1731312117,ORN_R,ORN,227,240,Traced,True,203906057
1731325118,ORN_R,ORN,429,600,Traced,True,375176123
1731354634,,,1231,855,Traced,True,1333986792
1731626696,ORN_R,ORN,220,220,Traced,True,193044926
1731640090,ORN_R,ORN,203,225,Traced,True,189590067
1732110512,,,104,159,Traced,True,115849825
1732451471,,,15,18,Traced,True,55776411
1732451638,ORN,ORN,148,227,Traced,True,132013062
1732455860,ORN,ORN,175,322,Traced,True,150957252
1732714479,ORN,ORN,122,183,Traced,True,130664741
1732719013,ORN,ORN,178,295,Traced,True,126449949
1732719340,ORN,ORN,120,178,Traced,True,105422927
1732792926,ORN_L,ORN,86,114,Traced,True,83209240
1732797061,,,85,87,Traced,True,78759932
1733056086,LN(AVM05)_R,olfactory LN,246,1037,Traced,False,573458586
1733137734,,,57,75,Traced,True,61460068
1733138582,,,25,29,Traced,True,39365603
1733176434,,,56,83,Traced,True,54064062
1733387903,ORN,ORN,124,166,Traced,True,119905031
1733402071,ORN,ORN,121,178,Traced,True,110641393
1733491818,ORN,ORN,97,109,Traced,True,84677153
